#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -23.95349
16    18    -0.00511 
MO:17   1.91232
17    1    0.01132 
17    2    -0.05317 
17    3    0.06122 
17    4    0.06105 
17    5    -0.08549 
17    6    -0.00389 
17    7    -0.01866 
17    8    -0.01861 
17    9    0.02606 
17    10    -0.00151 
17    11    0.00344 
17    12    -0.50679 
17    13    -0.50535 
17    14    0.70768 
17    15    0.00480 
17    16    0.49598 
17    17    0.49457 
17    18    -0.69259 
MO:18   3.04128
18    1    -0.00704 
18    2    -0.06987 
18    3    0.00276 
18    4    0.00275 
18    5    -0.00385 
18    6    0.13795 
18    7    -0.07374 
18    8    -0.07353 
18    9    0.10296 
18    10    -0.14383 
18    11    1.47037 
18    12    0.00235 
18    13    0.00234 
18    14    -0.00328 
18    15    -1.27259 
18    16    -0.00664 
18    17    -0.00662 
18    18    0.00928 
