#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.76928
1    1    0.98633 
1    2    0.04985 
1    3    -0.00212 
1    4    -0.00371 
1    5    0.00383 
1    6    0.00471 
MO:2   -0.14211
2    1    -0.19064 
2    2    0.46940 
2    3    0.11652 
2    4    0.20388 
2    5    -0.21031 
2    6    0.55208 
MO:3   -0.02613
3    1    -0.21622 
3    2    0.80587 
3    3    -0.21935 
3    4    -0.38401 
3    5    0.39603 
3    6    -0.19318 
MO:4   0.03414
4    1    -0.00002 
4    2    0.00008 
4    3    -0.35839 
4    4    0.76165 
4    5    0.53986 
4    6    -0.00003 
MO:5   0.03415
5    1    0.00001 
5    2    -0.00005 
5    3    0.85730 
5    4    0.03957 
5    5    0.51330 
5    6    0.00002 
MO:6   0.35412
6    1    0.08192 
6    2    -0.71600 
6    3    -0.37963 
6    4    -0.66422 
6    5    0.68518 
6    6    1.21666 
