#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -23.95333
16    18    -0.00412 
MO:17   1.91168
17    1    0.01112 
17    2    -0.05097 
17    3    0.06009 
17    4    0.05992 
17    5    -0.08403 
17    6    -0.00542 
17    7    -0.01782 
17    8    -0.01776 
17    9    0.02491 
17    10    -0.00149 
17    11    0.00335 
17    12    -0.50643 
17    13    -0.50498 
17    14    0.70820 
17    15    0.00484 
17    16    0.49538 
17    17    0.49397 
17    18    -0.69275 
MO:18   3.04091
18    1    -0.00688 
18    2    -0.07069 
18    3    0.00356 
18    4    0.00355 
18    5    -0.00498 
18    6    0.13796 
18    7    -0.07392 
18    8    -0.07371 
18    9    0.10337 
18    10    -0.14386 
18    11    1.47029 
18    12    0.00231 
18    13    0.00230 
18    14    -0.00323 
18    15    -1.27226 
18    16    -0.00656 
18    17    -0.00654 
18    18    0.00918 
