#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -9.79375
9    6    0.03899 
9    7    -0.10448 
9    8    0.11144 
9    9    0.05768 
9    10    -0.00002 
9    11    -0.10430 
9    12    0.27947 
9    13    -0.01546 
9    14    0.09218 
9    15    -0.00008 
9    16    -0.14341 
9    17    0.38425 
9    18    0.01782 
9    19    -0.03485 
9    20    0.00006 
9    21    -0.03917 
9    22    0.10493 
9    23    0.11150 
9    24    0.05764 
9    25    -0.00001 
9    26    0.10435 
9    27    -0.27956 
9    28    -0.01545 
9    29    0.09241 
9    30    -0.00004 
9    31    -0.10383 
9    32    -0.02824 
9    33    0.07551 
9    34    0.10382 
9    35    0.02833 
9    36    -0.07555 
MO:10   -0.51500
10    1    -0.11071 
10    2    0.32534 
10    3    0.02132 
10    4    -0.10711 
10    5    0.00005 
10    6    0.02394 
10    7    -0.07031 
10    8    -0.20496 
10    9    -0.09785 
10    10    -0.00003 
10    11    0.08670 
10    12    -0.25478 
10    13    -0.06426 
10    14    0.15442 
10    15    -0.00010 
10    16    -0.11071 
10    17    0.32534 
10    18    -0.02123 
10    19    0.10700 
10    20    -0.00005 
10    21    0.02400 
10    22    -0.07055 
10    23    0.20502 
10    24    0.09777 
10    25    -0.00003 
10    26    0.08675 
10    27    -0.25495 
10    28    0.06436 
10    29    -0.15448 
10    30    0.00013 
10    31    0.16359 
10    32    -0.03531 
10    33    -0.12808 
10    34    0.16354 
10    35    -0.03551 
10    36    -0.12822 
MO:11   -0.51496
11    1    0.03619 
11    2    -0.10635 
11    3    0.20386 
11    4    -0.08670 
11    5    0.00006 
11    6    -0.11397 
11    7    0.33494 
11    8    0.00093 
11    9    -0.09710 
11    10    0.00012 
11    11    0.07780 
11    12    -0.22869 
11    13    -0.05775 
11    14    -0.17226 
11    15    0.00007 
11    16    0.03628 
11    17    -0.10665 
11    18    -0.20391 
11    19    0.08658 
11    20    -0.00016 
11    21    -0.11398 
11    22    0.33495 
11    23    -0.00109 
11    24    0.09693 
11    25    -0.00008 
11    26    0.07771 
11    27    -0.22836 
11    28    0.05767 
11    29    0.17228 
11    30    -0.00011 
11    31    -0.05348 
11    32    0.16844 
11    33    -0.11502 
11    34    -0.05370 
11    35    0.16838 
11    36    -0.11485 
MO:12   -0.44466
12    1    0.01052 
12    2    -0.04444 
12    3    0.11956 
12    4    0.20726 
12    5    -0.00012 
12    6    0.01054 
12    7    -0.04452 
12    8    -0.11959 
12    9    0.20726 
12    10    -0.00020 
12    11    0.01052 
12    12    -0.04444 
12    13    -0.23917 
12    14    0.00001 
12    15    -0.00015 
12    16    0.01055 
12    17    -0.04453 
12    18    -0.11958 
12    19    -0.20712 
12    20    0.00005 
12    21    0.01055 
12    22    -0.04454 
12    23    0.11963 
12    24    -0.20714 
12    25    0.00018 
12    26    0.01052 
12    27    -0.04444 
12    28    0.23926 
12    29    -0.00010 
12    30    0.00002 
12    31    -0.16801 
12    32    -0.16805 
12    33    -0.16794 
12    34    -0.16798 
12    35    -0.16799 
12    36    -0.16801 
MO:13   -0.38824
13    1    -0.06764 
13    2    0.23065 
13    3    -0.08031 
13    4    -0.13889 
13    5    0.00003 
13    6    0.06766 
13    7    -0.23069 
13    8    -0.07994 
13    9    0.13877 
13    10    -0.00017 
13    11    -0.06764 
13    12    0.23066 
13    13    0.16042 
13    14    -0.00002 
13    15    0.00008 
13    16    0.06764 
13    17    -0.23064 
13    18    -0.08039 
13    19    -0.13879 
13    20    -0.00001 
13    21    -0.06766 
13    22    0.23071 
13    23    -0.08002 
13    24    0.13874 
13    25    -0.00020 
13    26    0.06764 
13    27    -0.23065 
13    28    0.16039 
13    29    -0.00009 
13    30    -0.00003 
13    31    0.22954 
13    32    -0.22931 
13    33    0.22952 
13    34    -0.22949 
13    35    0.22932 
13    36    -0.22949 
MO:14   -0.36283
14    1    -0.00005 
14    2    0.00019 
14    3    0.28781 
14    4    -0.16565 
14    5    0.00004 
14    6    0.00003 
14    7    -0.00008 
14    8    -0.28784 
14    9    -0.16593 
14    10    -0.00003 
14    11    -0.00000 
14    12    0.00010 
14    13    0.00047 
14    14    0.33204 
14    15    -0.00014 
14    16    0.00006 
14    17    -0.00014 
14    18    0.28777 
14    19    -0.16572 
14    20    0.00029 
14    21    0.00000 
14    22    0.00002 
14    23    -0.28774 
14    24    -0.16613 
14    25    0.00010 
14    26    -0.00001 
14    27    0.00004 
14    28    0.00051 
14    29    0.33206 
14    30    -0.00026 
14    31    -0.00026 
14    32    -0.00012 
14    33    0.00047 
14    34    0.00034 
14    35    0.00008 
14    36    -0.00036 
MO:15   -0.34754
15    1    -0.00211 
15    2    0.00663 
15    3    0.09401 
15    4    -0.02370 
15    5    -0.00007 
15    6    -0.02594 
15    7    0.08088 
15    8    -0.13233 
15    9    0.31074 
15    10    -0.00034 
15    11    -0.02391 
15    12    0.07456 
15    13    -0.30837 
15    14    -0.05233 
15    15    -0.00030 
15    16    0.00210 
15    17    -0.00651 
15    18    0.09425 
15    19    -0.02325 
15    20    -0.00008 
15    21    0.02593 
15    22    -0.08088 
15    23    -0.13253 
15    24    0.31037 
15    25    -0.00039 
15    26    0.02393 
15    27    -0.07466 
15    28    -0.30810 
15    29    -0.05203 
15    30    -0.00005 
15    31    -0.01987 
15    32    -0.25301 
15    33    -0.23262 
15    34    0.02035 
15    35    0.25282 
15    36    0.23235 
MO:16   -0.34753
16    1    -0.02881 
16    2    0.08986 
16    3    0.17935 
16    4    0.32532 
16    5    -0.00018 
16    6    -0.01258 
16    7    0.03928 
16    8    -0.15344 
16    9    0.09881 
16    10    -0.00008 
16    11    0.01619 
16    12    -0.05053 
16    13    0.20880 
16    14    -0.07763 
16    15    0.00022 
16    16    0.02880 
16    17    -0.08986 
16    18    0.17968 
16    19    0.32516 
16    20    -0.00006 
16    21    0.01257 
16    22    -0.03916 
16    23    -0.15385 
16    24    0.09920 
16    25    -0.00012 
16    26    -0.01617 
16    27    0.05042 
16    28    0.20914 
16    29    -0.07784 
16    30    0.00004 
16    31    -0.28018 
16    32    -0.12242 
16    33    0.15753 
16    34    0.28021 
16    35    0.12293 
16    36    -0.15785 
MO:17   -0.28697
17    1    -0.00001 
17    2    0.00004 
17    3    0.00009 
17    4    0.00012 
17    5    0.33435 
17    6    0.00004 
17    7    -0.00017 
17    8    -0.00023 
17    9    0.00034 
17    10    0.33435 
17    11    -0.00004 
17    12    0.00013 
17    13    -0.00029 
17    14    0.00012 
17    15    0.33423 
17    16    0.00002 
17    17    -0.00010 
17    18    -0.00022 
17    19    0.00017 
17    20    0.33419 
17    21    0.00001 
17    22    -0.00003 
17    23    -0.00007 
17    24    0.00039 
17    25    0.33429 
17    26    0.00001 
17    27    -0.00003 
17    28    -0.00016 
17    29    0.00025 
17    30    0.33434 
17    31    0.00003 
17    32    -0.00015 
17    33    -0.00003 
17    34    -0.00005 
17    35    0.00008 
17    36    0.00010 
MO:18   -0.27306
18    1    0.00675 
18    2    -0.01204 
18    3    -0.25623 
18    4    -0.13171 
18    5    0.00012 
18    6    -0.00026 
18    7    0.00035 
18    8    0.28414 
18    9    0.17563 
18    10    -0.00000 
18    11    -0.00642 
18    12    0.01134 
18    13    -0.23153 
18    14    -0.17784 
18    15    -0.00012 
18    16    0.00672 
18    17    -0.01192 
18    18    0.25600 
18    19    0.13152 
18    20    0.00012 
18    21    -0.00033 
18    22    0.00070 
18    23    -0.28382 
18    24    -0.17619 
18    25    0.00019 
18    26    -0.00646 
18    27    0.01153 
18    28    0.23186 
18    29    0.17795 
18    30    -0.00007 
18    31    0.27053 
18    32    -0.01138 
18    33    -0.25875 
18    34    0.27034 
18    35    -0.01177 
18    36    -0.25898 
MO:19   -0.27299
19    1    -0.00352 
19    2    0.00616 
19    3    -0.19212 
19    4    0.25815 
19    5    0.00003 
19    6    0.00762 
19    7    -0.01356 
19    8    0.14772 
19    9    -0.23053 
19    10    0.00034 
19    11    -0.00409 
19    12    0.00742 
19    13    -0.14595 
19    14    0.28293 
19    15    -0.00018 
19    16    -0.00358 
19    17    0.00649 
19    18    0.19193 
