#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.80423
1    1    0.98668 
1    2    0.05040 
1    3    -0.00001 
1    4    -0.00001 
1    5    -0.00246 
1    6    -0.00446 
MO:2   -0.09980
2    1    -0.17910 
2    2    0.61267 
2    3    0.00067 
2    4    0.00067 
2    5    0.19703 
2    6    0.66091 
MO:3   -0.05081
3    1    -0.22142 
3    2    0.77048 
3    3    -0.00168 
3    4    -0.00168 
3    5    -0.49509 
3    6    -0.44127 
MO:4   0.01591
4    1    0.00000 
4    2    -0.00000 
4    3    0.70713 
4    4    -0.70708 
4    5    -0.00000 
4    6    -0.00000 
MO:5   0.01591
5    1    0.00000 
5    2    -0.00000 
5    3    0.70707 
5    4    0.70712 
5    5    -0.00481 
5    6    -0.00000 
MO:6   0.08299
6    1    -0.09088 
6    2    0.33751 
6    3    0.00298 
6    4    0.00298 
6    5    0.87558 
6    6    -0.66440 
