#  Overlap between R and R+dR : i_MO_R, j_MO_R+dR, S_ij  
1    1    1.0 
1    2    0.0 
1    3    0.0 
1    4    0.0 
1    5    0.406914 
1    6    -0.416933 
1    7    0.0 
1    8    0.0 
1    9    0.0808371 
1    10    -0.0995314 
1    11    -0.0574422 
1    12    0.0 
1    13    0.037778 
1    14    -0.029299 
1    15    -0.0507468 
1    16    2.51816e-05 
1    17    0.0808406 
1    18    -1.04164e-05 
1    19    -0.114922 
1    20    7.98116e-05 
1    21    0.40708 
1    22    0.208511 
1    23    -0.361174 
1    24    0.000203912 
1    25    0.513022 
1    26    0.113679 
1    27    0.00924829 
1    28    0.00289966 
1    29    0.00925202 
1    30    0.113688 
2    1    0.0 
2    2    1.0 
2    3    0.0 
2    4    0.0 
2    5    0.416933 
2    6    -0.327152 
2    7    0.0 
2    8    0.0 
2    9    0.0995314 
2    10    -0.101841 
2    11    -0.0789663 
2    12    0.0 
2    13    0.029299 
2    14    -0.00966574 
2    15    -0.0428188 
2    16    2.12476e-05 
2    17    1.04164e-05 
2    18    0.0349878 
2    19    -1.65331e-05 
2    20    0.0 
2    21    -0.208511 
2    22    0.103323 
2    23    0.248508 
2    24    -0.000140303 
2    25    -0.242844 
2    26    0.130712 
2    27    0.0141631 
2    28    0.0025678 
2    29    -0.0024407 
2    30    -0.120797 
3    1    0.0 
3    2    0.0 
3    3    1.0 
3    4    0.0 
3    5    0.0 
3    6    0.0 
3    7    0.246654 
3    8    0.0 
3    9    0.0574422 
3    10    -0.0789663 
3    11    -0.0105875 
3    12    0.0 
3    13    0.0507468 
3    14    -0.0428188 
3    15    -0.0591076 
3    16    3.68015e-05 
3    17    0.114922 
3    18    -1.65331e-05 
3    19    -0.147419 
3    20    0.000126678 
3    21    0.361174 
3    22    0.248508 
3    23    -0.183666 
3    24    0.000243027 
3    25    -0.420665 
3    26    -0.0640238 
3    27    0.00535859 
3    28    0.00444643 
3    29    0.0149507 
3    30    0.0812147 
4    1    0.0 
4    2    0.0 
4    3    0.0 
4    4    1.0 
4    5    0.0 
4    6    0.0 
4    7    0.0 
4    8    0.246654 
4    9    0.0 
4    10    0.0 
4    11    0.0 
4    12    0.0349861 
4    13    -2.51816e-05 
4    14    2.12476e-05 
4    15    3.68015e-05 
4    16    0.015056 
4    17    -7.98116e-05 
4    18    0.0 
4    19    0.000126678 
4    20    0.0349877 
4    21    -0.000203912 
4    22    -0.000140303 
4    23    0.000243027 
4    24    0.24679 
4    25    0.000198778 
4    26    8.83885e-05 
4    27    2.81276e-06 
4    28    -1.66061e-06 
4    29    -1.16775e-05 
4    30    -5.79453e-05 
5    1    0.406914 
5    2    0.416933 
5    3    0.0 
5    4    0.0 
5    5    1.0 
5    6    0.0 
5    7    0.0 
5    8    0.0 
5    9    0.407138 
5    10    -0.208594 
5    11    -0.36117 
5    12    0.0 
5    13    0.0808286 
5    14    5.51648e-06 
5    15    -0.114907 
5    16    5.70194e-05 
5    17    0.0377876 
5    18    0.0293048 
5    19    -0.050759 
5    20    3.52513e-05 
5    21    0.0808406 
5    22    0.0995287 
5    23    -0.0574556 
5    24    3.24383e-05 
5    25    0.113652 
5    26    0.512997 
5    27    0.113687 
5    28    0.00925268 
5    29    0.00289994 
5    30    0.00925045 
6    1    -0.416933 
6    2    -0.327152 
6    3    0.0 
6    4    0.0 
6    5    0.0 
6    6    1.0 
6    7    0.0 
6    8    0.0 
6    9    0.208594 
6    10    0.103272 
6    11    -0.248577 
6    12    0.0 
6    13    -5.51648e-06 
6    14    0.0349819 
6    15    8.75596e-06 
6    16    0.0 
6    17    -0.0293048 
6    18    -0.00966519 
6    19    0.0428269 
6    20    -2.97426e-05 
6    21    -0.0995287 
6    22    -0.101826 
6    23    0.0789793 
6    24    -4.45902e-05 
6    25    -0.130694 
6    26    0.242716 
6    27    0.12081 
6    28    0.00244169 
6    29    -0.00256782 
6    30    -0.0141656 
7    1    0.0 
7    2    0.0 
7    3    0.246654 
7    4    0.0 
7    5    0.0 
7    6    0.0 
7    7    1.0 
7    8    0.0 
7    9    0.36117 
7    10    -0.248577 
7    11    -0.18356 
7    12    0.0 
7    13    0.114907 
7    14    8.75596e-06 
7    15    -0.147403 
7    16    9.05034e-05 
7    17    0.050759 
7    18    0.0428269 
7    19    -0.0591205 
7    20    5.15173e-05 
7    21    0.0574556 
7    22    0.0789793 
7    23    -0.0106051 
7    24    2.57409e-05 
7    25    -0.0639934 
7    26    -0.420722 
7    27    0.0811912 
7    28    0.0149515 
7    29    0.00444696 
7    30    0.00536136 
8    1    0.0 
8    2    0.0 
8    3    0.0 
8    4    0.246654 
8    5    0.0 
8    6    0.0 
8    7    0.0 
8    8    1.0 
8    9    0.0 
8    10    0.0 
8    11    0.0 
8    12    0.246839 
8    13    -5.70194e-05 
8    14    0.0 
8    15    9.05034e-05 
8    16    0.0349819 
8    17    -3.52513e-05 
8    18    -2.97426e-05 
8    19    5.15173e-05 
8    20    0.0150602 
8    21    -3.24383e-05 
8    22    -4.45902e-05 
8    23    2.57409e-05 
8    24    0.0349878 
8    25    3.02389e-05 
8    26    0.000580832 
8    27    4.26179e-05 
8    28    -5.58396e-06 
8    29    -3.47338e-06 
8    30    -3.82524e-06 
9    1    0.0808371 
9    2    0.0995314 
9    3    0.0574422 
9    4    0.0 
9    5    0.407138 
9    6    0.208594 
9    7    0.36117 
9    8    0.0 
9    9    1.0 
9    10    0.0 
9    11    0.0 
9    12    0.0 
9    13    0.40678 
9    14    0.208405 
9    15    -0.361009 
9    16    0.000358169 
